"u","connectivity","offsets","types","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.76156,7077993,0,0,1,0.392,0.392,0.0006125,0
0.75873,3801196,0,0,1,0.393,0.393,0.00061406,0
0.7559,3539046,0,132,1,0.394,0.394,0.00061563,0
0.7531,3473510,0,235,1,0.395,0.395,0.00061719,0
0.75032,2228281,0,81,1,0.396,0.396,0.00061875,0
0.74755,7340092,0,30,1,0.397,0.397,0.00062031,0
0.7448,7602273,0,69,1,0.398,0.398,0.00062187,0
0.74208,2097256,0,60,1,0.399,0.399,0.00062344,0
0.73937,5046306,0,45,1,0.4,0.4,0.000625,0
0.73669,3276851,0,236,1,0.401,0.401,0.00062656,0
0.73403,3473452,0,49,1,0.402,0.402,0.00062812,0
0.7314,3014711,0,77,1,0.403,0.403,0.00062969,0
0.7288,3735604,0,101,1,0.404,0.404,0.00063125,0
0.72622,3014711,0,33,1,0.405,0.405,0.00063281,0
0.72367,3670068,0,64,1,0.406,0.406,0.00063438,0
0.72116,3145772,0,2,1,0.407,0.407,0.00063594,0
0.71867,3014707,0,0,1,0.408,0.408,0.0006375,0
0.71622,3342387,0,0,1,0.409,0.409,0.00063906,0
0.71381,3211309,0,0,1,0.41,0.41,0.00064063,0
0.71142,2949170,0,240,1,0.411,0.411,0.00064219,0
0.70909,3342385,0,63,1,0.412,0.412,0.00064375,0
0.7068,3342382,0,140,1,0.413,0.413,0.00064531,0
0.70454,2949171,0,122,1,0.414,0.414,0.00064688,0
0.70234,3407918,0,99,1,0.415,0.415,0.00064844,0
0.70019,5439545,0,164,1,0.416,0.416,0.00065,0
0.69808,3407922,0,193,1,0.417,0.417,0.00065156,0
0.69604,3473454,0,61,1,0.418,0.418,0.00065312,0
0.69404,3014710,0,61,1,0.419,0.419,0.00065469,0
0.6921,3211317,0,10,1,0.42,0.42,0.00065625,0
0.69024,3342380,655616,215,1,0.421,0.421,0.00065781,0
0.68842,3014710,0,112,1,0.422,0.422,0.00065937,0
0.68669,3211317,0,61,1,0.423,0.423,0.00066094,0
0.68502,3407916,0,36,1,0.424,0.424,0.0006625,0
0.6834,3342387,110561488,3,1,0.425,0.425,0.00066406,0
0.6819,3211308,0,0,1,0.426,0.426,0.00066562,0
0.68045,3014711,105,0,1,0.427,0.427,0.00066719,0
0.67907,3211319,0,0,1,0.428,0.428,0.00066875,0
0.6778,3407916,448,0,1,0.429,0.429,0.00067031,0
0.67658,3342387,128,0,1,0.43,0.43,0.00067188,0
0.67546,3342380,0,0,1,0.431,0.431,0.00067344,0
0.67444,2883634,110560896,214,1,0.432,0.432,0.000675,0
0.67348,3407918,393984,112,1,0.433,0.433,0.00067656,0
0.67262,2883640,301992725,61,1,0.434,0.434,0.00067813,0
0.67185,3604533,805306372,10,1,0.435,0.435,0.00067969,0
0.67115,2883641,943142453,63,1,0.436,0.436,0.00068125,0
0.67057,3276851,520105529,64,1,0.437,0.437,0.00068281,0
0.67007,3473452,1442560,61,1,0.438,0.438,0.00068438,0
0.66964,3014711,134219267,10,1,0.439,0.439,0.00068594,0
0.66935,5046362,134219264,163,1,0.44,0.44,0.0006875,0
0.66914,3276851,1594687496,112,1,0.441,0.441,0.00068906,0
0.66904,3670060,134219264,61,1,0.442,0.442,0.00069062,0
0.66912,3604526,755302408,36,1,0.443,0.443,0.00069219,0
0.6693,3538994,100859927,3,1,0.444,0.444,0.00069375,0
0.66971,3670060,657664,0,1,0.445,0.445,0.00069531,0
0.67039,3604526,774,0,1,0.446,0.446,0.00069687,0
0.67128,3145778,3015936,0,1,0.447,0.447,0.00069844,0
0.67271,3735598,100859928,0,1,0.448,0.448,0.0007,0
0.67466,2883634,657664,0,1,0.449,0.449,0.00070156,0
0.67701,3735601,774,0,1,0.45,0.45,0.00070313,0
0.68071,3276844,768,102,1,0.451,0.451,0.00070469,0
0.68523,3014704,0,158,1,0.452,0.452,0.00070625,0
0.69079,3276857,0,11,1,0.453,0.453,0.00070781,0
0.69837,5439538,0,182,1,0.454,0.454,0.00070938,0
0.70701,3538994,2849,64,1,0.455,0.455,0.00071094,0
